Zeit,ethereum
1728169903201,2416.9408054381374
1728172862458,2415.4038137445546
1728176698803,2409.539025120216
1728180137506,2420.9175692351423
1728183628646,2415.934381473785
1728187499078,2413.5656038166712
1728191082627,2414.704806944779
1728194744305,2417.0181724776894
1728198340000,2415.445448921813
1728202035059,2417.1709225943237
1728205282970,2421.0975656568176
1728209286993,2421.4722843358795
1728212737698,2419.8415796172812
1728216491784,2428.76280821791
1728220065766,2434.9179515229284
1728223551391,2427.5627898874463
1728227203014,2449.00312790439
1728230884249,2452.0548915203476
1728234250513,2436.4256895703165
1728237849515,2440.968308752675
1728241847972,2452.0499228866825
1728245258200,2441.892009488727
1728248486984,2438.333530119294
1728252456737,2422.406338379055
1728255915840,2432.3071209657232
1728259420236,2439.5746280764088
1728263398858,2490.7034214686405
1728267046426,2503.9315194501787
1728270212246,2503.2263265748943
1728274008405,2498.6528140746086
1728277402807,2486.9406255415215
1728281231885,2484.610515629629
1728284976638,2490.539049962548
1728288767148,2487.282773449798
1728291643736,2481.81024325608
1728295743659,2453.3619458862863
1728299496052,2438.821694401438
1728302862489,2469.185799423899
1728306981075,2466.6651046071524
1728309698871,2476.4897328255174
1728313770544,2484.0944436899204
1728316850124,2476.116632281472
1728321168417,2475.1521285222034
1728324888429,2462.3717525951815
1728328680828,2440.96568517788
1728331619772,2444.7119429338745
1728334950881,2439.882357861578
1728338442743,2452.9821455579686
1728342356596,2419.7161664685555
1728346146850,2428.938061511157
1728349290716,2437.0721499568326
1728353318362,2437.287163510799
1728356531059,2441.1394790189015
1728360752190,2438.8070191086954
1728364241383,2433.1334880736104
1728367672906,2424.5817565235093
1728371199866,2433.41739093056
1728374868824,2425.093384479347
1728378758178,2424.368874941797
1728381946935,2433.250464082216
1728385974537,2432.1050983770156
1728388842669,2438.718570045666
1728392682875,2430.5436430306786
1728396704817,2439.467900413756
1728399859417,2436.6308597899533
1728403869791,2415.287173862368
1728407251220,2440.539532973981
1728410964926,2449.7546441585355
1728414703526,2429.1429634239244
1728417957154,2438.498960763918
1728421687402,2442.3118096262747
1728425436174,2453.458527009136
1728429077830,2437.9366147681
1728432042994,2441.4651696200294
1728435929873,2436.6586080810944
1728439737836,2458.969109605072
1728443370292,2448.211977436284
1728446753542,2442.2166100239524
1728450039059,2442.924241980069
1728453734932,2449.953418196876
1728457817855,2438.6293763599015
1728461271927,2436.3227725494207
1728464814676,2434.032434819347
1728468177670,2436.390348138402
1728472329781,2434.643223472928
1728475845924,2439.611413199621
1728479534454,2423.10711573125
1728482671833,2428.429800805464
1728486885709,2444.628054370307
1728489988512,2456.029175172619
1728493425505,2432.2069730338417
1728497070142,2432.324402344249
1728500746616,2407.8982293862377
1728504154285,2416.790961337721
1728508037049,2358.441978986675
1728511614253,2371.950436768291
1728515579045,2368.7504613300134
1728518894322,2367.4463671652793
1728522048773,2372.732846689047
1728526338435,2393.3698308730886
1728529265480,2392.763574165084
1728533395367,2394.0583910922455
1728536687393,2392.863597938768
1728540155706,2402.3307889843977
1728544512309,2403.4910284912125
1728548002440,2392.2250175869203
1728551740339,2380.0464882380934
1728554942081,2389.546006129106
1728558437980,2393.4432589018015
1728562328007,2403.682001068503
1728565556922,2385.578245993678
1728568868914,2387.335348826579
1728573166719,2389.737069159094
1728576266813,2399.762903141237
1728580381299,2374.154218654691
1728583861491,2345.8107277155746
1728587224601,2354.346811919811
1728591302251,2369.6423906352366
1728594340881,2364.9800765822974
1728597651171,2374.952158866775
1728601565926,2376.1026397853857
1728605586028,2383.5960821500107
1728609187984,2381.626136704801
1728612819621,2401.64695586163
1728616375872,2405.2293497538476
1728619310141,2409.506852637403
1728623118856,2407.433744535974
1728627136616,2405.225158625896
1728630943086,2412.7446137176835
1728634571202,2404.256617564975
1728637280767,2402.1713383311076
1728641150536,2417.931805869416
1728644599140,2414.4436867303993
1728648717405,2420.7122089182235
1728651637325,2421.9699324655726
1728656055399,2433.465038570553
1728659518407,2440.446783078583
1728662633370,2444.822654873436
1728666803324,2437.5038602807654
1728669710737,2450.920796075853
1728673786601,2446.5764340855885
1728677792983,2454.764314039718
1728681195537,2460.18703141416
1728684585493,2451.2568355244166
1728687932444,2439.7807716878324
1728691384405,2437.9147474358588
1728695588571,2446.568830369226
1728698873037,2443.2905777272626
1728702187604,2436.240817681149
1728705925823,2438.6173176286397
1728709658588,2445.96048068635
1728713244200,2446.3629723707536
1728717258499,2443.501553573546
1728720460739,2444.1188657205803
1728724427661,2444.153031201851
1728728077091,2444.4230095650814
1728731721645,2456.002508627984
1728734477703,2451.5428002345566
1728738893468,2461.1769385489483
1728742277476,2462.745891346136
1728745956133,2471.835036501705
1728748864009,2471.2451061847883
1728753679825,2476.4748584473596
1728756571911,2478.5084725532356
1728759933760,2468.7921935387308
1728764083165,2472.751065006782
1728767303726,2471.9143113267505
1728770640544,2478.79116626864
1728774323991,2487.371269886439
1728777716799,2476.3104657403633
1728781610589,2471.0997625682494
1728785016741,2466.5401393790753
1728788565156,2469.8182504363504
1728792227726,2456.87983277818
1728796022929,2463.15101124427
1728799744629,2465.509823089561
1728803201664,2466.394903228608
1728806506204,2465.430572730079
1728810590307,2463.140208126581
1728813688147,2466.0496634999954
1728817593539,2464.3764032105128
1728821629054,2462.7361036535935
1728824918414,2465.476632309311
1728828912916,2459.4414756975852
1728831959435,2444.5997849576647
1728836179965,2441.9479380144166
1728839262454,2457.8754900437757
1728843312456,2445.1328900682533
1728846378043,2447.7774531612886
1728850432751,2455.143151178259
1728854039783,2458.580285671372
1728857843791,2476.6681094791315
1728860604112,2466.492020604589
1728864087285,2467.792520733699
1728868552652,2452.615511957076
1728871271744,2449.848882915475
1728875623279,2452.434989321521
1728879380808,2527.21534456273
1728882293269,2537.433334475307
1728885768192,2529.252666947134
1728889588112,2524.9557153200894
1728893172529,2534.2163028020746
1728897551824,2523.457205334948
1728900507272,2533.377127755827
1728904172607,2536.8987725131706
1728908084020,2539.451571183186
1728911617692,2558.260854119571
1728915063206,2579.03805098774
1728918068026,2616.6210883693575
1728922397582,2633.3011676619944
1728925760259,2620.27160759984
1728929686682,2631.71262967269
1728932609084,2627.9781537388044
1728936626113,2615.645905082857
1728940168263,2620.91564823876
1728943314701,2616.414709394741
1728947710534,2637.134165432885
1728951338243,2625.892962494292
