Zeit,solana
1728173540050,142.10090494055228
1728176723589,142.22371594202954
1728180132652,143.4284215421803
1728183876364,143.1474800296038
1728187371970,142.78972116743194
1728191128989,142.40129462940502
1728194689863,142.61835635079387
1728198372829,143.1580997795594
1728202037891,142.92787490906642
1728205645323,143.34174081074056
1728209011421,143.89769323788772
1728212846047,143.73371919746265
1728216091636,144.18647401651216
1728219714517,144.5309463845114
1728223237077,144.45976951931854
1728227192180,146.1264199704913
1728230599733,146.11256025097478
1728234478469,145.12375810135697
1728238144621,145.31225721484572
1728241863166,146.30613112161916
1728245210251,145.39547499348635
1728248469729,145.35289111454907
1728252407788,144.76692656301879
1728256101449,146.05325135870874
1728259465444,146.48221394941538
1728262942161,149.13625701940063
1728267111973,150.6310584538261
1728270383601,149.58470994600785
1728273651118,149.82656680634673
1728277616814,149.51616032820525
1728281025622,148.8564609545081
1728284814820,149.2932766325034
1728288076189,148.10764061131505
1728291647744,148.75281830110885
1728295864213,147.03942764582288
1728299351660,146.355018815402
1728302597768,147.24358666587355
1728306892256,146.7404083359494
1728310088850,148.15979894877788
1728313899152,149.62175110991637
1728317277422,148.8953543272307
1728321275803,148.81539301163087
1728324932217,148.09672767642917
1728328696263,146.93551508676012
1728331302444,146.90559000699892
1728335078319,145.807045640301
1728338757162,146.52294954374983
1728342210125,144.6124947181152
1728346152396,144.35039278845946
1728349255100,144.82272144906455
1728353159907,145.27640110168386
1728357209399,144.98812053141503
1728360750299,144.72838151079532
1728364296785,143.79951002693838
1728367900498,143.04080472816057
1728371090834,144.1149862959222
1728374862336,142.8915088273133
1728378758033,143.4054035627427
1728381975017,143.73601148824662
1728385974216,144.23645722955655
1728388928602,144.3994895448992
1728392556345,143.7304771578436
1728396753296,144.25401302732183
1728399661166,144.12211315665618
1728403727411,142.13721422647265
1728407058746,143.8099904695164
1728411151698,143.55713841007048
1728414628367,142.45564274011858
1728418124720,143.3920096773527
1728421897483,144.0914109846955
1728425375536,144.0725829511255
1728428923702,142.99726736785496
1728432045035,143.4338504886754
1728435937398,144.01582547320768
1728439911049,144.53063259653663
1728443359439,144.03592882191018
1728446954175,143.74864826251616
1728450753606,143.27252493462106
1728454389479,144.0425944337782
1728457702743,143.21920225505409
1728461089495,143.02523844851927
1728464826681,143.05119519276408
1728468161668,143.15104871621213
1728471675022,142.59858318226023
1728475703941,143.02827478791482
1728479609993,140.75886226045844
1728483235283,141.4879569502954
1728486890822,141.8639399550641
1728489794947,142.62888827551095
1728493493640,140.75306569786116
1728496958832,141.17669202680264
