Zeit,neiro-on-eth
1728173635807,0.059970758123920075
1728176512486,0.06006500401351285
1728180111804,0.0607919731100573
1728183718975,0.060027468570201664
1728187325001,0.05947910338917942
1728190919581,0.059156943848220685
1728194522532,0.05904606284696417
1728198207334,0.05900649215128662
1728201826450,0.06100720249376404
1728205242973,0.060846142874938766
1728209080880,0.06083152394802309
1728212984829,0.06073746704822982
1728216541571,0.06049508669431161
1728219702301,0.06061246791092962
1728223291667,0.06059601829064079
1728226937066,0.0630119435861165
1728230526667,0.06317058394003121
1728234575448,0.0633173709402649
1728237833184,0.06209426889969161
1728241379705,0.062349536169971784
1728244961437,0.0627535786791574
1728248566518,0.06266511154318843
1728252179048,0.06217839942671923
1728255773222,0.06337352413799453
1728259369062,0.06609450375377451
1728262992622,0.06699069657094753
1728266576207,0.06772551644972272
1728270172165,0.06738877506936983
1728273779305,0.06917469146054987
1728277383792,0.07501450687830605
1728280958815,0.07484619095204982
1728284812484,0.07136281567689337
1728288066190,0.07208021887322538
1728291672957,0.07174575703751628
1728295316088,0.06965983090676174
1728298916651,0.0688058573784618
1728303259353,0.06889284108891125
1728306784213,0.06899617138944955
1728310563356,0.07077061323002581
1728314187411,0.0709703129035599
1728317812118,0.07084491125102803
1728320696119,0.0723959544419959
1728324880527,0.07252960070697244
1728328638876,0.07140516931169966
1728331735399,0.07266109842695262
1728335306424,0.07152658251658509
1728338699453,0.06922042529869551
1728342344351,0.06594650364438358
1728345735969,0.06538942654465953
1728349981489,0.06601035301359352
1728353633445,0.06656918290088937
1728357372203,0.06585910213618844
1728360872044,0.06600293122936372
1728364048167,0.06561299039025742
1728367889953,0.063798217403132
1728371559966,0.06407520654731627
1728375116687,0.06388099376634827
1728378688635,0.06367651873631114
1728382294910,0.06304985617511606
1728385939412,0.06311242997641342
1728389535791,0.06281149024171734
1728393118750,0.06195563118822156
1728396278677,0.06280868714684222
1728399985842,0.0612531406855515
1728403905157,0.06047018244388051
1728406956650,0.060989605054115596
1728411011243,0.060312531352032565
1728414861957,0.05849559045363438
1728418223033,0.058597255854667886
1728421775084,0.05824428119288382
1728425470104,0.05889688884342907
1728429196050,0.05734742942124615
1728432037602,0.0580783792756329
1728436401878,0.05898828781577513
1728439256416,0.059531127318507196
1728443154374,0.05819441729573095
1728446555275,0.05955996484123239
1728450644241,0.06112112078614252
1728453765157,0.0605226889243312
1728457974758,0.0588593870828418
1728461191779,0.058631114316347314
1728464858010,0.0585929508151369
1728468576782,0.05850008952661004
1728472419228,0.058264319903637674
1728475532583,0.05810043302682477
1728479062471,0.05698960171174923
1728483115100,0.05648838492100642
1728486076295,0.05600792517360435
1728489744972,0.057908637204284026
1728494044513,0.05628389069272584
1728497603564,0.05646360984265759
1728501158996,0.05638082743820877
1728504357064,0.05601457496634834
1728507891319,0.054468851820570166
1728511571120,0.055657299304462525
1728515606891,0.05544246359067211
1728519240313,0.055719990053153895
1728522263350,0.05581040524929225
1728525901345,0.056298755987133464
1728529818201,0.056025179361480965
1728533577421,0.05604661687232221
1728536940347,0.0561529332622252
1728540552975,0.05658121731478171
1728544144089,0.055926487095043054
1728547826035,0.05547397802147716
1728551359769,0.05564812884701127
1728554966257,0.05641780520238298
1728558566052,0.05862677398077688
1728562130297,0.06053352789752691
1728565716895,0.058498488228794
1728568970858,0.057957385668496286
1728572743401,0.060808816316129374
1728576654871,0.062290915737597034
1728580014616,0.0655269094147648
1728583680087,0.06557985006642116
1728587487672,0.06486804216058528
1728591111385,0.0711383570410554
1728594269088,0.07475479088990108
1728598458054,0.07024447849372345
1728601584901,0.07290666008160199
1728605030507,0.07380859065354306
1728608756962,0.07568460298304702
1728612316836,0.07601745702625377
1728616258643,0.07627575926329501
1728619728997,0.07599518511466737
1728623331668,0.0765155562233432
1728627340213,0.0783202095286585
1728630941151,0.07688196606771826
1728634727986,0.07806976316856966
1728638147783,0.0844256236786494
1728641484539,0.08720827239201857
1728644611480,0.09222059043496568
1728648320664,0.08534057772345209
1728652257592,0.0878395522211689
1728656249651,0.08897253330736984
1728658863080,0.09023413240098381
1728662635579,0.09253471691070299
1728666662263,0.0938252886017995
1728669817777,0.0936855040631793
1728673533370,0.09454654663190674
1728677216560,0.09514551294996053
1728680617051,0.09586163669991073
1728684186317,0.09700033117078924
1728687802498,0.09740071668492266
1728691395557,0.09749039155202203
1728694868662,0.10203830192227444
1728698675522,0.11136802162208864
1728702342339,0.11460436840903807
1728705954891,0.11249994344709846
