Zeit,shiba-inu
1728173481401,0.000017331762716672935
1728177046628,0.0000174228448940344
1728180677240,0.00001744489593112768
1728184297841,0.000017421656379019813
1728187876676,0.0000172912753494417
1728191490539,0.00001718481135382852
1728195100328,0.000017287200204909467
1728198666661,0.000017343297464746777
1728202291849,0.000017262733043369893
1728205872191,0.000017367079261313514
1728209499645,0.000017381957585914553
1728213119245,0.000017304119986500213
1728216715269,0.000017384422997499757
1728220303491,0.000017532221395877215
1728223943960,0.000017514658200561968
1728227523488,0.000018413822339204918
1728231140509,0.00001867822765593126
1728234699008,0.000018454241163406133
1728238346016,0.00001829736651690544
1728241898372,0.00001831418341891834
1728244980287,0.00001801857692348327
1728248858894,0.000018058631812370057
1728252045682,0.00001786208066009807
1728255637404,0.000018030812253988308
1728259223100,0.000018119779801290774
1728263224235,0.000018659072827041122
1728266920902,0.000018693422934989285
1728270167948,0.000018555105867912135
1728274046319,0.000018522092877311134
1728277608098,0.00001840328556492034
1728281139857,0.000018344295890275622
1728284874385,0.000018552342826706345
1728288279068,0.00001844393140316543
1728291780205,0.00001842408998579243
1728295868524,0.000018007517503198577
1728299499934,0.00001779574075892877
1728302844184,0.000017996978439690592
1728306869533,0.0000178692962010295
1728309939658,0.00001809446666324993
1728313782389,0.000018095261130320697
1728317054914,0.000018055595347350146
1728321457447,0.000018200102695279786
1728324282687,0.000018227776037736595
1728328437852,0.000017895804162506764
1728331479440,0.00001790138609471161
1728334904254,0.00001776996476736512
1728339283509,0.000018022881348674616
1728342628965,0.000017610699242805912
1728345718133,0.000017462470284214166
1728349994855,0.00001761378275351711
1728353200842,0.000017629482491375883
1728357211845,0.000017594146478586386
1728360734473,0.00001758464858554358
1728364371822,0.00001747501053212218
1728367724461,0.000017276754834640477
1728370908127,0.000017405934987304367
1728374529200,0.000017305180885842425
1728378692682,0.000017319657429740026
1728381942508,0.000017433723192939555
1728385529829,0.000017478758579917544
1728389340530,0.000017550109789433827
1728393216402,0.000017363683321613902
1728396208543,0.000017529985624068223
1728400383313,0.00001738129868805755
1728403446482,0.000017207547385137986
1728406881657,0.00001732463927519592
1728410930587,0.000017294929747079917
1728414415133,0.00001709904945212859
1728418049968,0.000017126112875085904
1728421998504,0.000017261776349819256
1728425433657,0.000017344077181468866
1728428896359,0.000017156240337827357
1728432041350,0.000017252225555485466
1728436032462,0.000017364435263301616
1728439601564,0.000017528208329273102
1728443127269,0.000017407633136363075
1728447081368,0.000017587360178331583
1728450642460,0.000017545840545758697
1728454292247,0.000017860312987035122
1728457640585,0.000017688418923752364
1728461267758,0.00001772981591695823
1728464776123,0.000017584613010566675
1728468625293,0.00001757295761212986
1728472361644,0.00001751377156097336
1728475738547,0.000017584047139883495
1728478967887,0.000017368596337640513
1728483288030,0.000017137685424467508
1728486780244,0.000017237079512345118
1728490336109,0.000017275514935947293
1728493375074,0.000017126994622436487
1728496959226,0.00001712964071661037
1728500684300,0.00001697197696375489
1728504120031,0.000017075520093908653
1728507982423,0.000016829651179324585
1728511997818,0.000016954167749853935
1728515627641,0.00001693120110034246
1728518939131,0.000016920180283953402
1728522354022,0.000017011096522981573
1728526301082,0.000017086382308134605
1728529258121,0.000017106727417839588
1728533397954,0.00001711660875802215
1728536452838,0.000017063772122152364
1728540315280,0.0000171201548898118
1728544219233,0.000017129355978723165
1728548169744,0.00001704555322337765
1728551369285,0.000017003225441897494
1728555163762,0.000017036761574172907
1728558866320,0.00001709260349330538
1728562341000,0.000017151397647577364
1728565396003,0.000016962789706957167
1728569103163,0.000016825242256019047
1728572875177,0.000016659268839638384
1728576746192,0.000016657265207822103
1728580278001,0.0000164285217263669
1728583663514,0.000016201851671974382
1728587696302,0.000016332940185097113
1728591280322,0.00001649294896134284
1728594339740,0.000016454831969939486
1728597739647,0.000016636420835228175
1728601478390,0.00001664446923139885
1728605112657,0.000016766247596636246
1728609184471,0.0000166448978602389
1728612743956,0.00001677666697001636
1728615750195,0.000016816998178952752
1728619415693,0.000016810511270740147
1728623279275,0.000016843265786781748
1728626980200,0.00001680741056918262
1728630496694,0.000016901132241002877
1728634671987,0.000016843563824570817
1728637299309,0.000016887051645531015
1728641223081,0.00001711686307248991
1728645267318,0.000017030074840515446
1728648780328,0.000017113149033683442
1728652547862,0.00001726523455509771
1728655339282,0.000017382881386054013
1728659449560,0.000017527920876966915
1728662832150,0.000017883176334606792
1728666137384,0.00001786213384351303
1728670127504,0.00001793509762180794
1728673720807,0.000017853352511267897
1728677680689,0.00001776078346802793
1728681102111,0.00001778019710506367
1728684449779,0.00001766914924065153
1728687946303,0.00001761022185733868
1728691863962,0.000017718630059290364
1728694870106,0.000017869558023077576
1728698582816,0.00001787764273631993
1728702679291,0.000017690308528565318
1728706181844,0.00001769077598578332
1728709878500,0.000017743709399881743
1728712828655,0.00001785596080356975
1728716839751,0.000017843674423184283
1728720909649,0.000017866714833382748
1728724194767,0.00001787807148952705
1728727793317,0.00001792814416764954
1728731399888,0.000017992365038390405
1728735292592,0.000017909537615328213
1728738417526,0.000017984485170515443
1728742377768,0.00001795897408733135
1728745419715,0.000018076914732242898
1728749199290,0.000017944555472151023
1728753266644,0.00001796982653580962
1728756988295,0.000017930603395667778
1728760565200,0.00001779901030552024
1728763976913,0.00001784660944234875
1728767256026,0.000017926786843229425
1728770573212,0.000017948227661971186
